bulan,tahun,jenis_kejahatan,polda,provinsi,lintang,bujur
4,2023,Penganiayaan,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Penganiayaan,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Penganiayaan,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Penganiayaan,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Penganiayaan,POLDA BALI,BALI,-8.65,115.2167
4,2023,Penganiayaan,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Penganiayaan,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Penganiayaan,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Penganiayaan,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Penganiayaan,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Penganiayaan,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Penganiayaan,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Penganiayaan,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Penganiayaan,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Penganiayaan,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Penganiayaan,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Penganiayaan,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Penganiayaan,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Penganiayaan,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Penganiayaan,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Penganiayaan,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Penipuan / Perbuatan Curang,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Penipuan / Perbuatan Curang,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Penipuan / Perbuatan Curang,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Penipuan / Perbuatan Curang,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Penipuan / Perbuatan Curang,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Penipuan / Perbuatan Curang,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Penipuan / Perbuatan Curang,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Penipuan / Perbuatan Curang,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Penipuan / Perbuatan Curang,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Penipuan / Perbuatan Curang,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Penipuan / Perbuatan Curang,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Penipuan / Perbuatan Curang,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Penipuan / Perbuatan Curang,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Penipuan / Perbuatan Curang,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Penipuan / Perbuatan Curang,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Penipuan / Perbuatan Curang,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Penipuan / Perbuatan Curang,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Penipuan / Perbuatan Curang,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Penipuan / Perbuatan Curang,POLDA BALI,BALI,-8.65,115.2167
4,2023,Penipuan / Perbuatan Curang,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Penipuan / Perbuatan Curang,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Penipuan / Perbuatan Curang,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Penipuan / Perbuatan Curang,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Penipuan / Perbuatan Curang,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Penipuan / Perbuatan Curang,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Penipuan / Perbuatan Curang,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Penipuan / Perbuatan Curang,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Penipuan / Perbuatan Curang,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Penipuan / Perbuatan Curang,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Penipuan / Perbuatan Curang,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Penipuan / Perbuatan Curang,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Penipuan / Perbuatan Curang,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Penipuan / Perbuatan Curang,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Penipuan / Perbuatan Curang,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Penipuan / Perbuatan Curang,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Pencurian Biasa,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Pencurian Biasa,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Pencurian Biasa,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Pencurian Biasa,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Pencurian Biasa,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Pencurian Biasa,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Pencurian Biasa,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Pencurian Biasa,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Pencurian Biasa,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Pencurian Biasa,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Pencurian Biasa,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Pencurian Biasa,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Pencurian Biasa,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Pencurian Biasa,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Pencurian Biasa,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Pencurian Biasa,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Pencurian Biasa,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Pencurian Biasa,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Pencurian Biasa,POLDA BALI,BALI,-8.65,115.2167
4,2023,Pencurian Biasa,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Pencurian Biasa,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Pencurian Biasa,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Pencurian Biasa,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Pencurian Biasa,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Pencurian Biasa,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Pencurian Biasa,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Pencurian Biasa,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Pencurian Biasa,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Pencurian Biasa,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Pencurian Biasa,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Pencurian Biasa,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Pencurian Biasa,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Pencurian Biasa,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Pencurian Biasa,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Pencurian Biasa,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Narkotika (Narkoba),POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Narkotika (Narkoba),POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Narkotika (Narkoba),POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Narkotika (Narkoba),POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Narkotika (Narkoba),POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Narkotika (Narkoba),POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Narkotika (Narkoba),POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Narkotika (Narkoba),POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Narkotika (Narkoba),POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Narkotika (Narkoba),POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Narkotika (Narkoba),POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Narkotika (Narkoba),POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Narkotika (Narkoba),POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Narkotika (Narkoba),POLDA ACEH,ACEH,5.557,95.3169
4,2023,Narkotika (Narkoba),POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Narkotika (Narkoba),POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Narkotika (Narkoba),POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Narkotika (Narkoba),POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Narkotika (Narkoba),POLDA BALI,BALI,-8.65,115.2167
4,2023,Narkotika (Narkoba),POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Narkotika (Narkoba),POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Narkotika (Narkoba),POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Narkotika (Narkoba),POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Narkotika (Narkoba),POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Narkotika (Narkoba),POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Narkotika (Narkoba),POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Narkotika (Narkoba),POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Narkotika (Narkoba),POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Narkotika (Narkoba),POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Narkotika (Narkoba),POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Narkotika (Narkoba),POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Narkotika (Narkoba),POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Narkotika (Narkoba),POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Narkotika (Narkoba),POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Narkotika (Narkoba),POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Penggelapan,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Penggelapan,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Penggelapan,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Penggelapan,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Penggelapan,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Penggelapan,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Penggelapan,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Penggelapan,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Penggelapan,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Penggelapan,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Penggelapan,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Penggelapan,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Penggelapan,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Penggelapan,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Penggelapan,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Penggelapan,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Penggelapan,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Penggelapan,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Penggelapan,POLDA BALI,BALI,-8.65,115.2167
4,2023,Penggelapan,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Penggelapan,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Penggelapan,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Penggelapan,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Penggelapan,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Penggelapan,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Penggelapan,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Penggelapan,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Penggelapan,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Penggelapan,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Penggelapan,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Penggelapan,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Penggelapan,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Penggelapan,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Penggelapan,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Penggelapan,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Curanmor R-2,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Curanmor R-2,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Curanmor R-2,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Curanmor R-2,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Curanmor R-2,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Curanmor R-2,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Curanmor R-2,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Curanmor R-2,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Curanmor R-2,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Curanmor R-2,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Curanmor R-2,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Curanmor R-2,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Curanmor R-2,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Curanmor R-2,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Curanmor R-2,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Curanmor R-2,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Curanmor R-2,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Curanmor R-2,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Curanmor R-2,POLDA BALI,BALI,-8.65,115.2167
4,2023,Curanmor R-2,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Curanmor R-2,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Curanmor R-2,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Curanmor R-2,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Curanmor R-2,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Curanmor R-2,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Curanmor R-2,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Curanmor R-2,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Curanmor R-2,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Curanmor R-2,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Curanmor R-2,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Curanmor R-2,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Curanmor R-2,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Curanmor R-2,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Curanmor R-2,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Curanmor R-2,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Pengroyokan,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Pengroyokan,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Pengroyokan,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Pengroyokan,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Pengroyokan,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Pengroyokan,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Pengroyokan,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Pengroyokan,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Pengroyokan,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Pengroyokan,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Pengroyokan,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Pengroyokan,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Pengroyokan,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Pengroyokan,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Pengroyokan,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Pengroyokan,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Pengroyokan,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Pengroyokan,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Pengroyokan,POLDA BALI,BALI,-8.65,115.2167
4,2023,Pengroyokan,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Pengroyokan,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Pengroyokan,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Pengroyokan,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Pengroyokan,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Pengroyokan,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Pengroyokan,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Pengroyokan,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Pengroyokan,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Pengroyokan,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Pengroyokan,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Pengroyokan,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Pengroyokan,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
4,2023,Pengroyokan,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
4,2023,Pengroyokan,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
4,2023,Pengroyokan,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA RIAU,RIAU,0.5071,101.4478
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA ACEH,ACEH,5.557,95.3169
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA PAPUA,PAPUA,-2.5367,140.7065
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA JAMBI,JAMBI,-1.6224,103.6309
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.5833,116.1167
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA BALI,BALI,-8.65,115.2167
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9778,122.5151
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.3194,114.59
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA BANTEN,BANTEN,-6.1104,106.1633
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0263,109.3425
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA DAERAH ISTIMEWA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.8014,110.364
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA KEPULAUAN RIAU,KEPULAUAN RIAU,0.9167,104.45
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA KALIMANTAN TENGAH,KALIMANTAN TENGAH,-2.2096,113.9145
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA MALUKU,MALUKU,-3.6547,128.1906
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA BENGKULU,BENGKULU,-3.8004,102.2655
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA GORONTALO,GORONTALO,0.5375,123.0586
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
4,2023,Tindak Pidana Dalam Perlindungan Anak,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
